params,mean_test_score,std_test_score,rank_test_score
{'alpha': 0.001},0.7591231177377743,0.003907714891887467,1
{'alpha': 0.1},0.7591230835856517,0.003907900881744324,2
{'alpha': 1},0.7591230505670625,0.003907939349010069,3
{'alpha': 0.0001},0.7591229316689179,0.0039044102154711996,4
{'alpha': 0.01},0.7591227859649609,0.003907966159480942,5
{'alpha': 1e-05},0.7591060306879904,0.0038790930023674224,6
